Date/Time,[1] Site Diffuse Solar Radiation Rate per Area  (W/m2),[1] Site Direct Solar Radiation Rate per Area  (W/m2),[1] Site Outdoor Air Dewpoint Temperature  (C),[1] Site Outdoor Air Drybulb Temperature  (C),[1] Site Solar Altitude Angle  (deg),[1] Site Solar Azimuth Angle  (deg),[1] Site Wind Direction  (deg),[1] Site Wind Speed  (m/s),[1] Surface Outside Face Temperature  (C),Orientation,Lats,Longs,[1] Dry Bulb Temperature (C),[1] Global Horizontal Radiation (Wh/m2),[1] Relative Humidity (),DNR,SC,hdi
Year 1 Jan 01 01:00,0,0,5.6,14.075,-86.55020906,91.10404511,220,2.925,16.48987854,270,23.0225,72.5714,13.7,0,58,0,0,0
Year 1 Jan 01 02:00,0,0,6.5,13.55,-75.71045682,93.15709869,180,1.725,16.00487598,270,23.0225,72.5714,13.5,0,64,0,0,0
Year 1 Jan 01 03:00,0,0,7.4,13.125,-61.9580562,96.15906337,45,0.35,15.67371189,270,23.0225,72.5714,13,0,70,0,0,0
Year 1 Jan 01 04:00,0,0,7.825,12.4,-48.28684593,99.3826864,0,0.375,15.17069527,270,23.0225,72.5714,12.2,0,75,0,0,0
Year 1 Jan 01 05:00,0,0,7.975,11.6,-34.74934753,102.9230379,0,0.875,14.49567514,270,23.0225,72.5714,11.4,0,80,0,0,0
Year 1 Jan 01 06:00,0,0,8.15,10.8,-21.41656587,106.933663,345,1.375,13.7540906,270,23.0225,72.5714,10.6,0,85,0,0,0
Year 1 Jan 01 07:00,0,0,7.9,10.975,-8.391359932,111.6341177,340,1.125,13.44234987,270,23.0225,72.5714,11.1,0,80,0,0,0
Year 1 Jan 01 08:00,34.75,54.75,7.875,11.4,4.168492016,117.3454366,340,0.625,13.90346321,270,23.0225,72.5714,11.5,13,78,0,1,13
Year 1 Jan 01 09:00,110.25,294.5,7.9,11.875,16.00945873,124.5429059,175,0.125,15.57802051,270,23.0225,72.5714,12,150,76,219,1,100
Year 1 Jan 01 10:00,131.5,584,10.15,14.325,26.71196705,133.9074625,0,0.75,17.58259244,270,23.0225,72.5714,15.1,355,76,521,1,141
Year 1 Jan 01 11:00,106.25,785.75,12.775,17.5,35.58822466,146.2728644,0,1.825,19.35715992,270,23.0225,72.5714,18.3,532,73,773,0,103
Year 1 Jan 01 12:00,117,829.75,15.05,20.625,41.619466,162.1623018,37.5,2.85,21.4371119,270,23.0225,72.5714,21.4,652,70,824,0,116
Year 1 Jan 01 13:00,118.75,846.5,14.7,21.775,43.69151378,180.686594,50,2.95,23.33344632,270,23.0225,72.5714,21.9,706,62,847,0,120
