Date/Time,Lats,Longs,Orientation,[1] Dew Point Temperature (C),[1] Diffuse Horizontal Radiation (Wh/m2),[1] Direct Normal Radiation (Wh/m2),[1] Dry Bulb Temperature (C),[1] Relative Humidity (),[1] Total Sky Cover (tenths),[1] Wind Direction (°),[1] Wind Speed (m/s),BLOCK1:ZONE1_WALL_3_0_0:Surface Outside Face Temperature [C](Hourly)
Year 1 Jan 01 01:00,23.44,74.1,270,10.9,0,0,19.6,57,0,49,1.8,21.01845235
Year 1 Jan 01 02:00,23.44,74.1,270,11.3,0,0,19,61,0,51,1.7,20.3297152
Year 1 Jan 01 03:00,23.44,74.1,270,11.6,0,0,18.5,64,0,52,1.6,19.7405266
Year 1 Jan 01 04:00,23.44,74.1,270,11.8,0,0,18,67,0,51,1.6,19.19715978
Year 1 Jan 01 05:00,23.44,74.1,270,11.9,0,0,17.7,69,0,49,1.6,18.72560405
Year 1 Jan 01 06:00,23.44,74.1,270,12.2,0,0,17.3,72,0,46,1.6,18.28171695
Year 1 Jan 01 07:00,23.44,74.1,270,12.1,0,0,16.8,74,0,43,1.5,17.83238721
Year 1 Jan 01 08:00,23.44,74.1,270,12.8,20,20,17.3,75,0,42,1.5,18.23430899
Year 1 Jan 01 09:00,23.44,74.1,270,15,109,240,20.4,71,0,45,1.6,20.3035347
Year 1 Jan 01 10:00,23.44,74.1,270,16.8,170,425,23.8,65,0,54,2.2,22.89162454
Year 1 Jan 01 11:00,23.44,74.1,270,17.5,207,531,25.9,60,0,50,2.1,25.13503614
Year 1 Jan 01 12:00,23.44,74.1,270,17.4,228,583,28.5,51,0,47,2.2,27.16100609
Year 1 Jan 01 13:00,23.44,74.1,270,15.8,232,609,30.1,42,0,50,2.2,29.47627944
Year 1 Jan 01 14:00,23.44,74.1,270,15.3,227,599,30.9,39,0,52,2,34.84727423
Year 1 Jan 01 15:00,23.44,74.1,270,15.3,211,551,30.8,39,0,50,1.7,39.83840958
Year 1 Jan 01 16:00,23.44,74.1,270,15.4,177,469,30.5,40,0,46,1.7,42.37416526
Year 1 Jan 01 17:00,23.44,74.1,270,15.2,122,328,29.5,42,0,42,1.6,40.17879621
Year 1 Jan 01 18:00,23.44,74.1,270,14.6,42,60,26.9,47,0,34,1.2,32.41202878
Year 1 Jan 01 19:00,23.44,74.1,270,14.4,0,0,24.6,53,0,33,1.3,27.99059813
Year 1 Jan 01 20:00,23.44,74.1,270,14.5,0,0,23.2,58,0,39,1.4,25.99492465
Year 1 Jan 01 21:00,23.44,74.1,270,14.8,0,0,22.2,63,0,45,1.5,24.56879444
Year 1 Jan 01 22:00,23.44,74.1,270,15,0,0,21.4,67,0,49,1.6,23.46110042
