Date/Time,Lats,Longs,Orientation,[1] Dew Point Temperature (C),[1] Diffuse Horizontal Radiation (Wh/m2),[1] Direct Normal Radiation (Wh/m2),[1] Dry Bulb Temperature (C),[1] Relative Humidity (),[1] Total Sky Cover (tenths),[1] Wind Direction (°),[1] Wind Speed (m/s),BLOCK1:ZONE1_WALL_3_0_0:Surface Outside Face Temperature [C](Hourly)
Year 1 Jan 01 01:00,23.31,82,90,7.2,0,0,7.8,96,3.1,64,0.6,12.53595851
Year 1 Jan 01 02:00,23.31,82,90,6.9,0,0,7.6,95,4.1,64,0.6,11.61883792
Year 1 Jan 01 03:00,23.31,82,90,6.9,0,0,7.8,94,5,58,0.7,11.27174815
Year 1 Jan 01 04:00,23.31,82,90,6.9,0,0,8.1,92,6,48,0.8,11.1107398
Year 1 Jan 01 05:00,23.31,82,90,7.2,0,0,8.4,92,4,36,0.8,10.86244613
Year 1 Jan 01 06:00,23.31,82,90,7.3,0,0,8.2,94,2,37,0.7,10.47122488
Year 1 Jan 01 07:00,23.31,82,90,7.1,1,1,7.9,95,0,45,0.7,11.96905115
Year 1 Jan 01 08:00,23.31,82,90,8.4,65,140,9.6,92,3.3,53,0.7,17.89422706
Year 1 Jan 01 09:00,23.31,82,90,9.7,152,140,11.6,88,6.7,63,0.7,19.5660356
Year 1 Jan 01 10:00,23.31,82,90,10.9,161,21,13,87,10,69,0.9,17.94375677
Year 1 Jan 01 11:00,23.31,82,90,11.4,187,18,14.1,84,6.8,63,1,18.94232955
Year 1 Jan 01 12:00,23.31,82,90,12.7,305,101,16.8,77,3.7,48,0.9,20.98737194
Year 1 Jan 01 13:00,23.31,82,90,14.2,288,362,18.9,74,0.5,43,0.8,21.60289003
Year 1 Jan 01 14:00,23.31,82,90,14.9,255,410,19.9,73,2.6,50,0.8,22.18434135
Year 1 Jan 01 15:00,23.31,82,90,14.9,246,168,19.2,76,4.6,45,0.8,22.00804816
Year 1 Jan 01 16:00,23.31,82,90,14.7,150,56,18.4,79,6.7,36,0.8,20.77332299
Year 1 Jan 01 17:00,23.31,82,90,14.2,53,19,17.3,82,7.8,23,0.8,19.1610424
Year 1 Jan 01 18:00,23.31,82,90,13.8,3,2,16.1,86,8.9,8,0.8,17.83602492
Year 1 Jan 01 19:00,23.31,82,90,13.6,0,0,14.7,93,10,4,0.8,17.09522306
Year 1 Jan 01 20:00,23.31,82,90,12.9,0,0,13.4,97,10,13,0.8,16.36020578
Year 1 Jan 01 21:00,23.31,82,90,12.6,0,0,12.8,99,10,32,0.8,15.74336334
Year 1 Jan 01 22:00,23.31,82,90,12.3,0,0,12.5,99,10,50,0.8,15.25710617
Year 1 Jan 01 23:00,23.31,82,90,12.2,0,0,12.4,99,7.2,58,0.9,14.69347367
Year 1 Jan 02 00:00,23.31,82,90,11.7,0,0,11.9,99,4.3,48,0.8,14.01351607
Year 1 Jan 02 01:00,23.31,82,90,10.9,0,0,11.1,99,1.5,18,0.7,13.21929815
Year 1 Jan 02 02:00,23.31,82,90,10.3,0,0,10.6,98,1,356,0.7,12.56366866
Year 1 Jan 02 03:00,23.31,82,90,9.7,0,0,10,98,0.5,357,0.8,11.97973389
Year 1 Jan 02 04:00,23.31,82,90,9,0,0,9.3,98,0,15,0.8,11.39350114
Year 1 Jan 02 05:00,23.31,82,90,8.5,0,0,8.8,98,0.6,31,0.8,10.89506359
Year 1 Jan 02 06:00,23.31,82,90,8.1,0,0,8.4,98,1.3,35,0.7,10.4946273
Year 1 Jan 02 07:00,23.31,82,90,7.9,1,1,8.2,98,1.9,29,0.6,11.83290863
Year 1 Jan 02 08:00,23.31,82,90,8.7,63,95,9.2,97,2.5,36,0.7,16.84320957
Year 1 Jan 02 09:00,23.31,82,90,10.4,157,193,11.5,93,3.2,43,0.8,21.57383055
Year 1 Jan 02 10:00,23.31,82,90,10.7,234,197,13.3,84,3.8,47,0.9,23.50671812
Year 1 Jan 02 11:00,23.31,82,90,10.7,290,186,15.1,75,4,39,0.9,23.92966247
Year 1 Jan 02 12:00,23.31,82,90,10.5,318,178,16.7,67,4.3,39,1,23.20188619
Year 1 Jan 02 13:00,23.31,82,90,10.6,322,156,17.5,64,4.5,41,1,22.80915745
Year 1 Jan 02 14:00,23.31,82,90,11.1,298,176,18,64,3.3,38,0.9,22.72950053
Year 1 Jan 02 15:00,23.31,82,90,11.2,242,244,18.4,63,2.2,36,0.9,22.17896044
